items,item_count,support
Diet=SodiumHigh,1,0.7724521511532799
Alcohol=Regular,1,0.7331915589726812
Rx=Antihypertensive,1,0.7186324227057092
Diet=SugarHigh,1,0.6739734991002782
Diabetes=No,1,0.6358580075249468
Cholesterol=High,1,0.6252249304760347
Smoking=Never,1,0.5781122198593162
Diet=FiberLow,1,0.53770652707345
Risk=High,1,0.5264191068215279
Sex=Female,1,0.5229838050057255
Hypertension=No,1,0.5097333551447735
Hypertension=Yes,1,0.4902666448552266
Sex=Male,1,0.4770161949942745
Risk=NotHigh,1,0.47358089317847213
Smoking=Ever,1,0.4218877801406838
Activity=Active,1,0.37722885653525273
Cholesterol=Normal,1,0.37477506952396533
BMI=Obese,1,0.34680189759528873
BMI=Overweight,1,0.34516603958776376
Age=60+,1,0.3011614591853427
BMI=Normal,1,0.28807459512514316
Age=30-44,1,0.2530672337641093
Age=45-59,1,0.23310976607230494
Activity=SedentaryHigh,1,0.2277114346474726
Age=18-29,1,0.21266154097824308
Diabetes=Prediabetes,1,0.1910682152789138
Rx=Statin,1,0.18583346965483397
Diabetes=Yes,1,0.17307377719613937
Alcohol=Regular + Diet=SodiumHigh,2,0.5823654506788811
Diet=SodiumHigh + Diet=SugarHigh,2,0.5699329298216915
Diet=SodiumHigh + Rx=Antihypertensive,2,0.5563553083592344
Alcohol=Regular + Rx=Antihypertensive,2,0.5220022902012106
Alcohol=Regular + Diet=SugarHigh,2,0.5059708817274661
Diabetes=No + Diet=SodiumHigh,2,0.5005725503026337
Alcohol=Regular + Diabetes=No,2,0.48159659741534433
Diet=SugarHigh + Rx=Antihypertensive,2,0.4770161949942745
Cholesterol=High + Diet=SodiumHigh,2,0.4742352363814821
Alcohol=Regular + Cholesterol=High,2,0.45411418288892524
Diabetes=No + Rx=Antihypertensive,2,0.44855226566334044
Diabetes=No + Diet=SugarHigh,2,0.44773433665957796
Cholesterol=High + Rx=Antihypertensive,2,0.4434811058400131
Diet=SodiumHigh + Smoking=Never,2,0.4428267626370031
Cholesterol=High + Risk=High,2,0.4351382300016359
Diabetes=No + Risk=NotHigh,2,0.42221495174218876
Rx=Antihypertensive + Smoking=Never,2,0.4212334369376738
Cholesterol=High + Diet=SugarHigh,2,0.41681662031735645
Diet=SodiumHigh + Risk=High,2,0.414690004907574
Diet=SodiumHigh + Hypertension=No,2,0.4063471290691968
Diet=SodiumHigh + Sex=Male,2,0.40422051365941436
Diabetes=No + Hypertension=No,2,0.3966955668247996
Alcohol=Regular + Diet=FiberLow,2,0.3960412236217896
Alcohol=Regular + Sex=Male,2,0.39424177981351216
Alcohol=Regular + Risk=High,2,0.3885162767871749
Hypertension=Yes + Risk=High,2,0.3881891051856699
Diabetes=No + Smoking=Never,2,0.3876983477834124
Diet=FiberLow + Rx=Antihypertensive,2,0.38720759038115493
Diet=SugarHigh + Smoking=Never,2,0.38426304596761
Hypertension=Yes + Rx=Antihypertensive,2,0.3765745133322428
Risk=High + Rx=Antihypertensive,2,0.3765745133322428
Diet=FiberLow + Diet=SodiumHigh,2,0.37461148372321285
Alcohol=Regular + Hypertension=No,2,0.3729756257156879
Alcohol=Regular + Smoking=Ever,2,0.37150335350891545
Hypertension=No + Risk=NotHigh,2,0.37150335350891545
Diet=SodiumHigh + Sex=Female,2,0.36823163749386556
Diet=SodiumHigh + Hypertension=Yes,2,0.3661050220840831
Rx=Antihypertensive + Sex=Male,2,0.36545067888107313
Alcohol=Regular + Smoking=Never,2,0.36168820546376573
Alcohol=Regular + Hypertension=Yes,2,0.3602159332569933
Diet=SugarHigh + Hypertension=No,2,0.3595615900539833
Cholesterol=High + Hypertension=Yes,2,0.35890724685097336
Diet=SodiumHigh + Risk=NotHigh,2,0.35776214624570585
Rx=Antihypertensive + Sex=Female,2,0.353181743824636
Diet=SugarHigh + Risk=High,2,0.3450024537870113
Alcohol=Regular + Risk=NotHigh,2,0.3446752821855063
Sex=Female + Smoking=Never,2,0.34303942417798133
Diabetes=No + Diet=FiberLow,2,0.34287583837722885
Hypertension=No + Rx=Antihypertensive,2,0.34205790937346636
Risk=NotHigh + Rx=Antihypertensive,2,0.34205790937346636
Cholesterol=High + Smoking=Never,2,0.3415671519712089
Diet=FiberLow + Diet=SugarHigh,2,0.34123998036970393
Diet=SugarHigh + Sex=Male,2,0.3400948797644364
Alcohol=Regular + Sex=Female,2,0.33894977915916896
Cholesterol=High + Diabetes=No,2,0.3387861933584165
Risk=NotHigh + Smoking=Never,2,0.3348601341403566
Diet=SugarHigh + Sex=Female,2,0.3338786193358417
Diabetes=No + Sex=Female,2,0.3320791755275642
Cholesterol=High + Diet=FiberLow,2,0.3307704891215443
Diet=SodiumHigh + Smoking=Ever,2,0.32962538851627676
Cholesterol=High + Sex=Female,2,0.3291346311140193
Diet=SugarHigh + Risk=NotHigh,2,0.3289710453132668
Diet=FiberLow + Risk=High,2,0.3263536725012269
Hypertension=No + Smoking=Never,2,0.3206281694748896
Diet=SugarHigh + Hypertension=Yes,2,0.3144119090462948
Diet=FiberLow + Sex=Female,2,0.3081956486177
Diabetes=No + Sex=Male,2,0.30377883199738265
Activity=Active + Diet=SodiumHigh,2,0.3016522165876002
Cholesterol=Normal + Diet=SodiumHigh,2,0.2982169147717978
Rx=Antihypertensive + Smoking=Ever,2,0.29739898576803536
Cholesterol=Normal + Diabetes=No,2,0.29707181416653033
Diet=FiberLow + Smoking=Never,2,0.29674464256502536
Cholesterol=High + Sex=Male,2,0.29609029936201536
BMI=Obese + Risk=High,2,0.29445444135449045
Activity=Active + Alcohol=Regular,2,0.2903647963356781
Diet=SugarHigh + Smoking=Ever,2,0.2897104531326681
Risk=High + Sex=Female,2,0.28692949451987565
Cholesterol=High + Smoking=Ever,2,0.28365777850482576
Cholesterol=Normal + Risk=NotHigh,2,0.2834941927040733
Risk=High + Smoking=Ever,2,0.2831670211025683
Alcohol=Regular + Cholesterol=Normal,2,0.27907737608375593
Hypertension=No + Sex=Female,2,0.277768689677736
Cholesterol=Normal + Rx=Antihypertensive,2,0.27515131686569605
Activity=Active + Rx=Antihypertensive,2,0.2748241452641911
Diet=FiberLow + Hypertension=Yes,2,0.2715524292491412
BMI=Overweight + Diet=SodiumHigh,2,0.26877147063634876
Cholesterol=High + Hypertension=No,2,0.26631768362506136
Alcohol=Regular + BMI=Overweight,2,0.2661540978243089
Diet=FiberLow + Hypertension=No,2,0.2661540978243089
BMI=Obese + Diet=SodiumHigh,2,0.2645182398167839
BMI=Obese + Cholesterol=High,2,0.262228038606249
Activity=Active + Diet=SugarHigh,2,0.261573695403239
Hypertension=Yes + Smoking=Never,2,0.2574840503844266
Cholesterol=Normal + Diet=SugarHigh,2,0.25715687878292165
Age=60+ + Risk=High,2,0.2545395059708817
Activity=Active + Diabetes=No,2,0.2524128905610993
BMI=Obese + Rx=Antihypertensive,2,0.2506134467528219
BMI=Overweight + Rx=Antihypertensive,2,0.25028627515131685
Diabetes=No + Smoking=Ever,2,0.24815965974153442
Alcohol=Regular + BMI=Obese,2,0.24701455913626696
Hypertension=Yes + Sex=Female,2,0.24521511532798954
Hypertension=Yes + Sex=Male,2,0.24505152952723702
Cholesterol=Normal + Hypertension=No,2,0.24341567151971208
Risk=High + Smoking=Never,2,0.2432520857189596
Sex=Male + Smoking=Ever,2,0.24194339931293965
Diet=FiberLow + Smoking=Ever,2,0.24096188450842468
Risk=High + Sex=Male,2,0.23948961230165222
