antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support
Age=60+ + BMI=Obese,Risk=High,0.10289546867331915,0.9889937106918238,1.8787192521625602,0.10404056927858663,0.5264191068215279
BMI=Obese + Diabetes=Yes,Risk=High,0.08719123180107967,0.9833948339483396,1.8680834741846488,0.08866350400785211,0.5264191068215279
Rx=Antihypertensive + Rx=Statin,Hypertension=Yes,0.12514313757565843,0.9096313912009513,1.8553809457495545,0.13757565843284802,0.4902666448552266
Age=60+ + Diabetes=Yes,Risk=High,0.0955341076394569,0.9717138103161397,1.8458938851654945,0.09831506625224931,0.5264191068215279
BMI=Obese + Diabetes=Prediabetes,Risk=High,0.08244724357925733,0.9673704414587333,1.8376431039891972,0.08522820219204973,0.5264191068215279
BMI=Obese + Hypertension=Yes,Risk=High,0.20988058236545068,0.9632132132132133,1.8297459205631985,0.2178962866023229,0.5264191068215279
Diabetes=Yes + Smoking=Ever,Risk=High,0.08032062816947488,0.9608610567514676,1.8252777004107275,0.08359234418452478,0.5264191068215279
Diabetes=Yes + Hypertension=Yes,Risk=High,0.12285293636512351,0.9591315453384419,1.8219922736649767,0.12808768198920334,0.5264191068215279
Activity=SedentaryHigh + BMI=Obese,Risk=High,0.08719123180107967,0.9586330935251799,1.8210454010936683,0.09095370521838704,0.5264191068215279
Diabetes=Yes + Diet=FiberLow,Risk=High,0.09062653361688205,0.9535283993115319,1.8113483856405823,0.09504335023719941,0.5264191068215279
BMI=Obese + Smoking=Ever,Risk=High,0.14101096024865042,0.9524861878453039,1.8093685724979311,0.14804514968100768,0.5264191068215279
Cholesterol=High + Diabetes=Yes,Risk=High,0.1351218714215606,0.9439999999999998,1.7932479801118704,0.14313757565843285,0.5264191068215279
Rx=Statin + Smoking=Ever,Risk=High,0.08899067560935711,0.9347079037800687,1.7755964623392044,0.09520693603795191,0.5264191068215279
Diabetes=Yes + Rx=Antihypertensive,Risk=High,0.12072632095534108,0.9341772151898735,1.774588351912895,0.1292327825944708,0.5264191068215279
Diabetes=Yes + Sex=Female,Risk=High,0.08048421397022738,0.9318181818181818,1.770107068195943,0.0863733027973172,0.5264191068215279
Age=60+ + Rx=Statin,Risk=High,0.12367086536888598,0.929889298892989,1.7664429099231949,0.13299525601177817,0.5264191068215279
Diabetes=Prediabetes + Hypertension=Yes,Risk=High,0.11434647472599378,0.9295212765957447,1.7657438047948375,0.123016522165876,0.5264191068215279
Diet=FiberLow + Rx=Statin,Risk=High,0.09684279404547685,0.9293563579277865,1.765430520824288,0.10420415507933911,0.5264191068215279
Alcohol=Regular + Diabetes=Yes,Risk=High,0.11025682970718141,0.9283746556473829,1.7635656525706809,0.11876329134631114,0.5264191068215279
Age=60+ + Diabetes=Prediabetes,Risk=High,0.08261082938000981,0.926605504587156,1.7602049252769683,0.0891542614101096,0.5264191068215279
Diabetes=Yes + Diet=SugarHigh,Risk=High,0.08980860461311958,0.9258010118043845,1.7586766889870111,0.09700637984622935,0.5264191068215279
Diabetes=Yes + Diet=SodiumHigh,Risk=High,0.11729101913953868,0.9251612903225807,1.757461456725275,0.12677899558318337,0.5264191068215279
Activity=SedentaryHigh + Hypertension=Yes,Risk=High,0.10911172910191395,0.9251040221914009,1.7573526686314584,0.11794536234254867,0.5264191068215279
Hypertension=Yes + Rx=Statin,Risk=High,0.1377392442336005,0.9242590559824369,1.7557475479243743,0.14902666448552265,0.5264191068215279
Age=60+ + Cholesterol=High,Risk=High,0.20742679535416325,0.9228529839883551,1.7530765354632736,0.2247668902339277,0.5264191068215279
Age=60+ + Rx=Antihypertensive,Hypertension=Yes,0.19155897268117128,0.8578754578754578,1.7498140387029275,0.22329461802715525,0.4902666448552266
BMI=Obese + Cholesterol=High,Risk=High,0.24063471290691968,0.9176543980037429,1.7432011606578248,0.262228038606249,0.5264191068215279
Rx=Antihypertensive + Rx=Statin,Risk=High,0.1259610665794209,0.9155766944114151,1.7392542986131077,0.13757565843284802,0.5264191068215279
Age=60+ + Diet=FiberLow,Risk=High,0.15148045149681008,0.914116485686081,1.7364804465503456,0.1657124161622771,0.5264191068215279
Diabetes=Yes,Risk=High,0.15802388352690985,0.9130434782608695,1.7344421325695136,0.17307377719613937,0.5264191068215279
BMI=Obese + Diet=FiberLow,Risk=High,0.1722558481923769,0.9093264248704663,1.7273811172259665,0.18943235727138885,0.5264191068215279
Age=60+ + Smoking=Ever,Risk=High,0.13692131522983805,0.9078091106290672,1.7244987859774665,0.1508261082938001,0.5264191068215279
Rx=Statin + Sex=Female,Risk=High,0.0829380009815148,0.9069767441860465,1.7229176001271913,0.09144446262064453,0.5264191068215279
Risk=High + Rx=Statin,Hypertension=Yes,0.1377392442336005,0.8445336008024071,1.722600567802841,0.1630950433502372,0.4902666448552266
Diabetes=Prediabetes + Smoking=Ever,Risk=High,0.08162931457549484,0.9056261343012704,1.7203519449918165,0.09013577621462457,0.5264191068215279
Age=60+ + BMI=Obese,Hypertension=Yes,0.08735481760183215,0.8396226415094339,1.712583652835225,0.10404056927858663,0.4902666448552266
Diet=SodiumHigh + Rx=Statin,Risk=High,0.11859970554555864,0.9006211180124223,1.7108442804257107,0.13168656960575822,0.5264191068215279
Age=60+ + Hypertension=Yes,Risk=High,0.2128251267789956,0.8984806629834254,1.706778214051485,0.2368722394896123,0.5264191068215279
Age=60+ + Rx=Statin,Hypertension=Yes,0.11123834451169638,0.8364083640836408,1.7060274706851173,0.13299525601177817,0.4902666448552266
Age=60+ + Risk=High,Hypertension=Yes,0.2128251267789956,0.8361182519280207,1.7054357270724025,0.2545395059708817,0.4902666448552266
Cholesterol=High + Rx=Statin,Risk=High,0.14968100768853262,0.8926829268292682,1.6957646773484512,0.16767544577130705,0.5264191068215279
Cholesterol=High + Hypertension=Yes,Risk=High,0.31948306886962213,0.890154968094804,1.6909624984349088,0.35890724685097336,0.5264191068215279
Age=45-59 + BMI=Obese,Risk=High,0.08048421397022738,0.8880866425992779,1.687033451277,0.09062653361688205,0.5264191068215279
Diabetes=Prediabetes + Diet=FiberLow,Risk=High,0.08817274660559464,0.8836065573770493,1.678522959989404,0.09978733845902175,0.5264191068215279
Alcohol=Regular + Rx=Statin,Risk=High,0.11680026173728121,0.8825710754017306,1.676555930370037,0.1323409128087682,0.5264191068215279
Cholesterol=High + Diabetes=Prediabetes,Risk=High,0.12628823818092588,0.8812785388127853,1.6741005928410677,0.14330116145918534,0.5264191068215279
