feature,importance
hba1c,0.3147253386381351
bmi,0.2535497122037398
age_group_60+,0.1269092650632229
ever_smoker,0.10141860345144504
sedentary_minutes,0.06036284097535791
age,0.05473664393777751
fiber_g,0.03683212504228888
systolic_bp,0.02377823256314769
sodium_mg,0.009749061778948138
triglycerides,0.009453520875468996
hdl_cholesterol,0.007166041108110859
income_poverty_ratio,0.001318614362357168
glucose,0.0
sugar_g,0.0
drug_count,0.0
diastolic_bp,0.0
total_cholesterol,0.0
gender_Male,0.0
gender_Female,0.0
age_group_30-44,0.0
age_group_18-29,0.0
bmi_group_Normal,0.0
bmi_group_Obese,0.0
bmi_group_Overweight,0.0
age_group_45-59,0.0
bmi_group_Underweight,0.0
regular_alcohol,0.0
vigorous_activity,0.0
moderate_activity,0.0
rx_insulin,0.0
rx_metformin,0.0
rx_statin,0.0
rx_antihypertensive,0.0
